,access,air_conditioning,alt_name,amenity,area,backrest,bench,bin,boundingbox,bridge,building,building:colour,building:levels,building:part,building:roof,bus,camera:angle,city,colour,contact:website,covered,description,display_name,drinking_water,ele,emergency,fee,fireplace,fixme,genus,geometry,height,highway,historic,indoor,information,int_name,internet_access,layer,leaf_cycle,leaf_type,leisure,level,lit,lockable,man_made,material,min_height,name,name:en,name:fr,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ja_rm,natural,nodes,note,note:ja,opening_hours,operator,passenger_information_display,picnic_table,place,playground,playground:theme,points,postcode,province,public_transport,railway,ref,roof,roof:colour,roof:material,roof:shape,room,seat,seats,shelter,shelter_type,smoking,source,source:geometry,source:landuse,source_ref,species,species:en,species:ja,sport,start_date,surface,table,taxon,toilets,toilets:access,tourism,train,type,ways,website,wheelchair,wikidata,wikipedia
"('way', 941323841)",,,,shelter,,,,,"['40.7268274', '40.7328473', '141.3547802', '141.3693585']",,yes,,,,,,,三沢市,,,,,"三沢市, 青森県, 033-0001, 日本",,,,,,,,"POLYGON ((141.3549423 40.7280511, 141.3549953 40.7280376, 141.3550207 40.7280946, 141.3549677 40.7281081, 141.3549423 40.7280511))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8717557292, 8717557293, 8717557294, 8717557295, 8717557292]",,,,,,,Aomori,,,POINT (141.3549815 40.72807285),033-0001,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 941323842)",,,,shelter,,,,,"['40.7268274', '40.7328473', '141.3547802', '141.3693585']",,yes,,,,,,,三沢市,,,,,"三沢市, 青森県, 033-0001, 日本",,,,,,,,"POLYGON ((141.3551598 40.728447, 141.3552128 40.7284335, 141.3552382 40.7284905, 141.3551852 40.728504, 141.3551598 40.728447))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8717557296, 8717557297, 8717557298, 8717557299, 8717557296]",,,,,,,Aomori,,,POINT (141.355199 40.72846875),033-0001,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 941323843)",,,,shelter,,,,,"['40.7268274', '40.7328473', '141.3547802', '141.3693585']",,yes,,,,,,,三沢市,,,,,"三沢市, 青森県, 033-0001, 日本",,,,,,,,"POLYGON ((141.3553895 40.7288106, 141.3554425 40.728797, 141.3554679 40.728854, 141.3554149 40.7288676, 141.3553895 40.7288106))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8717557300, 8717557301, 8717557302, 8717557303, 8717557300]",,,,,,,Aomori,,,POINT (141.3554287 40.7288323),033-0001,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 941323844)",,,,shelter,,,,,"['40.7268274', '40.7328473', '141.3547802', '141.3693585']",,yes,,,,,,,三沢市,,,,,"三沢市, 青森県, 033-0001, 日本",,,,,,,,"POLYGON ((141.3555528 40.7289887, 141.3555749 40.7290317, 141.3556288 40.7290158, 141.3556068 40.7289728, 141.3555528 40.7289887))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8717557305, 8717557306, 8717557307, 8717557308, 8717557305]",,,,,,,Aomori,,,POINT (141.3555908193644 40.72900224501897),033-0001,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 838829598)",,,,shelter,,,,no,[],,yes,,,,,,,,,,,,"東屋, 国道4号, 浜子, 平内町, 東津軽郡, 青森県, 日本",,,,,,,,"POLYGON ((140.997545 40.9364481, 140.9977299 40.9364941, 140.9977488 40.9364512, 140.9975555 40.93641, 140.997545 40.9364481))",,,,,,,,,,,,,no,,,,,東屋,,,,,,,,,"[7827883855, 7827883856, 7827883857, 7827883858, 7827883855]",,,,,,,Aomori,,,POINT (140.9976472586106 40.9364512980456),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 838960407)",,,,shelter,,,yes,no,[],,yes,,,,,,,,,,,,"小湊, 平内町, 東津軽郡, 青森県, 日本",,,,,,,,"POLYGON ((140.9593547 40.9257547, 140.9594271 40.9257646, 140.9594547 40.9256497, 140.9593822 40.9256398, 140.9593547 40.9257547))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7829113330, 7829113331, 7829113332, 7829113333, 7829113330]",,,,,,,Aomori,,,POINT (140.9594046787635 40.92570218729826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5290557166)",,,,shelter,,,,,[],,,,,,,,,,,,,,"二見岩, 国道279号, 下風呂, 風間浦村, 下北郡, 青森県, 日本",,,,,,,,POINT (141.0886379 41.4698588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.0886379 41.4698588),,,,,,,,,,,,,,pavilion,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5290557167)",,,,shelter,,,,,[],,,,,,,,,,,,,,"下風呂, 風間浦村, 下北郡, 青森県, 日本",,,,,,,,POINT (141.0887511 41.4705403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.0887511 41.4705403),,,,,,,,,,,,,,pavilion,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5291076999)",,,,shelter,,,,,[],,,,,,,,,,,,,,"易国間, 風間浦村, 下北郡, 青森県, 日本",,,,,,,,POINT (140.9841987 41.4887645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (140.9841987 41.4887645),,,,,,,,,,,,,,pavilion,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5372784181)",,,,shelter,,,,,"['40.5287924', '40.5313342', '141.5015125', '141.5066739']",,,,,,,,,八戸市,,,,,"北日本造船(株), （臨）白銀北沼線, 豊洲, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5010266 40.5312033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5010266 40.5312033),031-0001,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5390168651)",,,,shelter,,,,,"['40.4078172', '40.4131044', '141.4724542', '141.4809384']",,,,,,,,,八戸市,,,,,"八戸市, 青森県, 039-0812, 日本",,,,,,,,POINT (141.4724566 40.4106595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.4724566 40.4106595),039-0812,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 5390168652)",,,,shelter,,,,,"['40.4078172', '40.4131044', '141.4724542', '141.4809384']",,,,,,,,,八戸市,,,,,"八戸市, 青森県, 039-0812, 日本",,,,,,,,POINT (141.4726103 40.4106811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.4726103 40.4106811),039-0812,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
