,access,air_conditioning,alt_name,amenity,area,backrest,bench,bin,boundingbox,bridge,building,building:colour,building:levels,building:part,building:roof,bus,camera:angle,city,colour,contact:website,covered,description,display_name,drinking_water,ele,emergency,fee,fireplace,fixme,genus,geometry,height,highway,historic,indoor,information,int_name,internet_access,layer,leaf_cycle,leaf_type,leisure,level,lit,lockable,man_made,material,min_height,name,name:en,name:fr,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ja_rm,natural,nodes,note,note:ja,opening_hours,operator,passenger_information_display,picnic_table,place,playground,playground:theme,points,postcode,province,public_transport,railway,ref,roof,roof:colour,roof:material,roof:shape,room,seat,seats,shelter,shelter_type,smoking,source,source:geometry,source:landuse,source_ref,species,species:en,species:ja,sport,start_date,surface,table,taxon,toilets,toilets:access,tourism,train,type,ways,website,wheelchair,wikidata,wikipedia
"('node', 7041537570)",,,,shelter,,,,,"['39.2251502', '39.2260755', '140.5228987', '140.5242706']",,,,,,,,,横手市,,,,,"十文字町, 横手市, 秋田県, 019-0529, 日本",,,,,,,,POINT (140.5236714 39.2257468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5236714 39.2257468),019-0529,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7041537571)",,,,shelter,,,,,"['39.2251502', '39.2260755', '140.5228987', '140.5242706']",,,,,,,,,横手市,,,,,"十文字町, 横手市, 秋田県, 019-0529, 日本",,,,,,,,POINT (140.5240764 39.2255017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5240764 39.2255017),019-0529,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147633)",,,,shelter,,,,,"['39.2601426', '39.2617204', '140.4923157', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.4924905 39.2606445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.4924905 39.2606445),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147634)",,,,shelter,,,,,"['39.2601426', '39.2617204', '140.4923157', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.491985 39.2612021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.491985 39.2612021),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147682)",,,,shelter,,,,,"['39.2595514', '39.2601426', '140.4924197', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町浅舞伊勢堂, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.4931584 39.2597941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.4931584 39.2597941),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7467244692)",,,,shelter,,,,,"['39.214734', '39.216221', '140.58098', '140.582696']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 019-0701, 日本",,,,,,,,POINT (140.5823768 39.215564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5823768 39.215564),019-0701,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 737548731)",,,,shelter,,,,,[],,yes,,,,,,,湯沢市,,,,,"湯沢市, 秋田県, 日本",,,,,,,,"POLYGON ((140.5964768 38.9938581, 140.596391 38.993831, 140.5964151 38.9937851, 140.5965063 38.9938133, 140.5964768 38.9938581))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[6905390113, 6905390114, 6905390115, 6905390116, 6905390113]",,,,,,,Akita,,,POINT (140.5964475094785 38.99382168209509),,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 762188590)",,,,shelter,,,,,[],,yes,,,,,,,湯沢市,,,,,"皆瀬観光物産協会, 国道398号, 新処, 湯沢市, 秋田県, 日本",,,,,,,,"POLYGON ((140.6595838 39.0125328, 140.6596476 39.0125135, 140.6596194 39.0124573, 140.6595556 39.0124767, 140.6595838 39.0125328))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7121736210, 7121736211, 7121736212, 7121736213, 7121736210]",,,,,,,Akita,,,POINT (140.6596016066117 39.01249506931134),,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('way', 766182240)",,,,shelter,,,,,"['39.0672007', '39.0673007', '140.4599157', '140.4600157']",,yes,,,,,,,湯沢市,,,,,"桐木田の井戸, 横堀バイパス, 小野, 湯沢市, 秋田県, 019-0205, 日本",,,,,,,,"POLYGON ((140.4605139 39.0673589, 140.4605422 39.0674313, 140.4605006 39.0674411, 140.4604723 39.0673687, 140.4605139 39.0673589))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7156004848, 7156004849, 7156004850, 7156004851, 7156004848]",,,,,,,Akita,,,POINT (140.46050725 39.06740000000001),019-0205,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 833217164)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"東成瀬村, 雄勝郡, 秋田県, 日本",,,,,,,,"POLYGON ((140.7148886 39.1463268, 140.7149064 39.1462975, 140.7149412 39.1463103, 140.7149235 39.1463395, 140.7148886 39.1463268))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7778225299, 7778225300, 7778225301, 7778225302, 7778225299]",,,,,,,Akita,,,POINT (140.714914912537 39.14631852319025),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 839783394)",,,,shelter,,,,,"['39.2815422', '39.2819778', '140.6192367', '140.6206254']",,yes,,,,,,,横手市,,,,,"あいのの温泉 鶴ヶ池荘, 国道107号, 横手市, 秋田県, 013-0034, 日本",,,,,,,,"POLYGON ((140.6204554 39.2810973, 140.6204969 39.2811466, 140.6204296 39.2811806, 140.620388 39.2811313, 140.6204554 39.2810973))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7836370598, 7836370599, 7836370600, 7836370601, 7836370598]",,,,,,,Akita,,,POINT (140.6204424673617 39.28113894775605),013-0034,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 963228241)",,,,shelter,,,,,"['39.2095132', '39.2096942', '140.5723519', '140.5725123']",,yes,,,,,,,横手市,,,,,"いこいの館, 三十三観音遊歩道, 横手市, 秋田県, 019-0701, 日本",,,,,,,,"POLYGON ((140.5722506 39.2100375, 140.5722642 39.2100058, 140.572301 39.2100153, 140.5722874 39.210047, 140.5722506 39.2100375))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8909964175, 8909964176, 8909964177, 8909964178, 8909964175]",,,,,,,Akita,,,POINT (140.5722758 39.2100264),019-0701,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 963228242)",,,,shelter,,,,,"['39.210291', '39.2105874', '140.57146', '140.5721552']",,yes,,,,,,,横手市,,,,,"横手市, 秋田県, 019-0701, 日本",,,,,,,,"POLYGON ((140.5716999 39.2099524, 140.5717135 39.2099207, 140.5717503 39.2099302, 140.5717367 39.2099619, 140.5716999 39.2099524))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8909964179, 8909964180, 8909964181, 8909964182, 8909964179]",,,,,,,Akita,,,POINT (140.5717251 39.2099413),019-0701,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 963228244)",,,,shelter,,,,,"['39.2105874', '39.2109001', '140.5721552', '140.5732723']",,yes,,,,,,,横手市,,,,,"横手市, 秋田県, 019-0701, 日本",,,,,,,,"POLYGON ((140.5729179 39.2106574, 140.5729315 39.2106257, 140.5729683 39.2106352, 140.5729547 39.2106669, 140.5729179 39.2106574))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8909964186, 8909964187, 8909964188, 8909964189, 8909964186]",,,,,,,Akita,,,POINT (140.5729431 39.2106463),019-0701,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 970104392)",,,,shelter,,,yes,,[],,yes,,,,,,,湯沢市,,,,,"菅生, 国道398号, 菅生, 湯沢市, 秋田県, 日本",,,,,,,,"POLYGON ((140.5887532 39.0780093, 140.5887474 39.077987, 140.5887713 39.0779832, 140.5887772 39.0780055, 140.5887532 39.0780093))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8977287683, 8977287684, 8977287685, 8977287686, 8977287683]",,,,,,,Akita,,,POINT (140.5887622783174 39.07799625723286),,秋田県,,,,,,,,,,,,public_transport,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7060308886)",,,,shelter,,,,,"['39.5839967', '39.5874281', '140.5535339', '140.5609422']",,,,,,,,,大仙市,,,,,"大仙市, 秋田県, 014-0368, 日本",,,,,,,,POINT (140.5543681 39.5855677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5543681 39.5855677),014-0368,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7060308895)",,,,shelter,,,,,"['39.5854521', '39.5867523', '140.5551687', '140.5568504']",,,,,,,,,仙北市,,,,,"仙北市落合運動公園落合野球場 (Ochiai Baseball Studium), 国道341号, 角館町, 仙北市, 秋田県, 014-0368, 日本",,,,,,,,POINT (140.5548053 39.5856711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5548053 39.5856711),014-0368,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7060309181)",,,,shelter,,,,,"['39.5839967', '39.5874281', '140.5535339', '140.5609422']",,,,,,,,,大仙市,,,,,"大仙市, 秋田県, 014-0368, 日本",,,,,,,,POINT (140.553717 39.5842794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.553717 39.5842794),014-0368,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7108910284)",,,,shelter,,,,,"['39.2968349', '39.2977682', '140.5397156', '140.5409878']",,,,,,,,,横手市,,,,,"二丁目, 朝日が丘, 横手市, 秋田県, 013-0055, 日本",,,,,,,,POINT (140.5417219 39.2969339),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5417219 39.2969339),013-0055,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7108916851)",,,,shelter,,,,,"['39.2935075', '39.2951204', '140.543713', '140.5455905']",,,,,,,,,横手市,,,,,"秋田ふるさと村第一駐車場, 湯沢横手道路, 婦気大堤, 横手市, 秋田県, 0130043, 日本",,,,,,,,POINT (140.5435578 39.2949257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5435578 39.2949257),0130043,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7108916852)",,,,shelter,,,,,"['39.2950045', '39.2991151', '140.542631', '140.5481806']",,,,,,,,,横手市,,,,,"婦気大堤, 横手市, 秋田県, 013-0055, 日本",,,,,,,,POINT (140.5454756 39.2962022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5454756 39.2962022),013-0055,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7109336889)",,,,shelter,,,,,"['39.5041541', '39.50535', '140.65078', '140.6565955']",,,,,,,,,大仙市,,,,,"太田町, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,POINT (140.6536749 39.50493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.6536749 39.50493),014-0714,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7109336899)",,,,shelter,,,,,"['39.5041541', '39.50535', '140.65078', '140.6565955']",,,,,,,,,大仙市,,,,,"太田町, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,POINT (140.6552199 39.5050148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.6552199 39.5050148),014-0714,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7109336951)",,,,shelter,,,,,"['39.50535', '39.5070433', '140.65078', '140.6510989']",,,,,,,,,大仙市,,,,,"太田町, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,POINT (140.6516824 39.5067183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.6516824 39.5067183),014-0714,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7109336952)",,,,shelter,,,,,"['39.5041541', '39.50535', '140.65078', '140.6565955']",,,,,,,,,大仙市,,,,,"太田町, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,POINT (140.6517843 39.505547),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.6517843 39.505547),014-0714,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097540)",,,,shelter,,,,,[],,,,,,,,,,,,,,"鶴田, 美郷町, 仙北郡, 秋田県, 日本",,,,,,,,POINT (140.5309081 39.387765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5309081 39.387765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097894)",,,,shelter,,,,,[],,,,,,,,,,,,,,"山本, 美郷町, 仙北郡, 秋田県, 013-0007, 日本",,,,,,,,POINT (140.5507015 39.365344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5507015 39.365344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097895)",,,,shelter,,,,,"['39.364905', '39.364928', '140.552517', '140.553727']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 013-0003, 日本",,,,,,,,POINT (140.5531289 39.3651366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5531289 39.3651366),013-0003,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097896)",,,,shelter,,,,,"['39.365096', '39.365464', '140.5507351', '140.552161']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 013-0003, 日本",,,,,,,,POINT (140.5519621 39.3648152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5519621 39.3648152),013-0003,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097897)",,,,shelter,,,,,"['39.364905', '39.364928', '140.552517', '140.553727']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 013-0003, 日本",,,,,,,,POINT (140.5532952 39.3647903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5532952 39.3647903),013-0003,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131097961)",,,,shelter,,,,,"['39.3580717', '39.358114', '140.566934', '140.5678806']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 013-0002, 日本",,,,,,,,POINT (140.5672454 39.3580754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5672454 39.3580754),013-0002,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7232429248)",,,,shelter,,,,,[],,,,,,,,,,,,,,"美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,POINT (140.618264 39.4553993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.618264 39.4553993),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7232429339)",,,,shelter,,,,,[],,,,,,,,,,,,,,"グラウンドゴルフ場/パーク・マレットゴルフ場, みずほの里ロード, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,POINT (140.6163382 39.4572176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.6163382 39.4572176),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7232625150)",,,,shelter,,,,,[],,,,,,,,,,,,,,"野際清水, 大曲田沢湖線, 土崎, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,POINT (140.5723397 39.4653079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5723397 39.4653079),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7235347490)",,,,shelter,,,,,"['39.314064', '39.3160889', '140.5297706', '140.530483']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 0130042, 日本",,,,,,,,POINT (140.5293418 39.3153044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5293418 39.3153044),0130042,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7235347491)",,,,shelter,,,,,"['39.314064', '39.3160889', '140.5297706', '140.530483']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 0130042, 日本",,,,,,,,POINT (140.5297254 39.3151903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5297254 39.3151903),0130042,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7236139310)",,,,shelter,,,,,[],,,,,,,,,大仙市,,,,,"大仙市, 秋田県, 日本",,,,,,,,POINT (140.5210187 39.49924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5210187 39.49924),,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7617672970)",,,,shelter,,,,,"['39.45494', '39.4575547', '140.5088829', '140.511305']",,,,,,,,,大仙市,,,,,"国指定 旧池田氏庭園, 八つ橋, 高梨, 大仙市, 秋田県, 0140047, 日本",,,,,,,,POINT (140.5094005 39.45737),,,,,,,,,,,,,,,,,,四阿跡,,,,,,,,,,,,,,,,Akita,,,POINT (140.5094005 39.45737),0140047,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 443728573)",,,,shelter,,,,,"['39.6106535', '39.61076', '140.6233372', '140.6234512']",,yes,,,,,,,仙北市,,,,,"WAROCK, 大曲田沢湖線, 仙北市, 秋田県, 0141192, 日本",,,,,,,,"POLYGON ((140.6233372 39.6107445, 140.6233667 39.6106535, 140.6234512 39.610668, 140.6234374 39.6107152, 140.6234244 39.61076, 140.6233372 39.6107445))",,,,,,,,1,,,,,,,,,,WAROCK,,,,,,,,,"[4412766469, 4412766470, 4412766471, 4601196918, 4412766472, 4412766469]",,,,,,,Akita,,,POINT (140.6233948241966 39.61070675821227),0141192,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 473469127)",,,,shelter,,,,,"['39.6392184', '39.6392768', '140.6076674', '140.6077416']",,yes,,,,,,,仙北市,,,,,"東屋, 国道46号, 田沢湖神代, 仙北市, 秋田県, 0141192, 日本",,,,,,,,"POLYGON ((140.6076862 39.6392768, 140.6076674 39.6392323, 140.6077228 39.6392184, 140.6077416 39.6392629, 140.6076862 39.6392768))",,,,,,,,,,,,,,,,,,東屋,,,,,,,,,"[4675814263, 4675814264, 4675814265, 4675814266, 4675814263]",,,,,,,Akita,,,POINT (140.6077045 39.6392476),0141192,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 744293091)",,,,shelter,,,,,"['39.505028', '39.5072303', '140.6055056', '140.6062578']",,yes,,,,,,,大仙市,,,,,"太田町横沢, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,"POLYGON ((140.6066521 39.5064387, 140.6066226 39.5063953, 140.6067366 39.5063466, 140.6067607 39.5063891, 140.6066521 39.5064387))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[6966082146, 6966082147, 6966082148, 6966082149, 6966082146]",,,,,,,Akita,,,POINT (140.6066923678018 39.50639254858528),014-0714,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('way', 774940128)",,,,shelter,,,,,"['39.6388785', '39.638938', '140.6074814', '140.6075609']",,yes,,,,,,,仙北市,,,,,"東屋, 国道46号, 田沢湖神代, 仙北市, 秋田県, 0141192, 日本",,,,,,,,"POLYGON ((140.6067973 39.6390499, 140.6068196 39.63909, 140.6068801 39.63907, 140.6068578 39.6390299, 140.6067973 39.6390499))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7229870634, 7229870635, 7229870636, 7229870637, 7229870634]",,,,,,,Akita,,,POINT (140.6068387 39.63905995),0141192,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 774940131)",,,,shelter,,,,,"['39.6358202', '39.6373227', '140.6078136', '140.6085126']",,yes,,,,,,,仙北市,,,,,"仙北市, 秋田県, 0141192, 日本",,,,,,,,"POLYGON ((140.6071328 39.6370635, 140.6071954 39.6370674, 140.6071909 39.6371102, 140.6071283 39.6371063, 140.6071328 39.6370635))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7229870652, 7229870653, 7229870654, 7229870655, 7229870652]",,,,,,,Akita,,,POINT (140.60716185 39.63708685),0141192,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 807688921)",,,,shelter,,,,,"['39.5050424', '39.5052583', '140.6118931', '140.6170687']",,yes,,,,,,,大仙市,,,,,"太田町川口, 大仙市, 秋田県, 014-0714, 日本",,,,,,,,"POLYGON ((140.6122031 39.505329, 140.6122073 39.5053522, 140.6122397 39.5053487, 140.6122355 39.5053255, 140.6122031 39.505329))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7553071377, 7553071378, 7553071379, 7553071380, 7553071377]",,,,,,,Akita,,,POINT (140.6122214 39.50533884999999),014-0714,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 815641433)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"水神社, 寺町通り, 馬町, 美郷町, 仙北郡, 秋田県, 日本",,,,,,,,"POLYGON ((140.5440252 39.4236963, 140.54404 39.4237373, 140.5440949 39.4237254, 140.54408 39.4236844, 140.5440252 39.4236963))",,,,,,,,,,,,,,,,,,水神社,,,,,,,,,"[7617620458, 7617620459, 7617620460, 7617620461, 7617620458]",,,,,,,Akita,,,POINT (140.5440600293342 39.42371085528877),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 815669428)",,,,shelter,,,,,"['39.3096963', '39.309975', '140.574974', '140.575154']",,yes,,,,,,,横手市,,,,,"一丁目, 旭川, 横手市, 秋田県, 013-0033, 日本",,,,,,,,"POLYGON ((140.5752529 39.3099634, 140.5752533 39.3099276, 140.5752909 39.3099278, 140.5752905 39.3099636, 140.5752529 39.3099634))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7617876208, 7617876209, 7617876210, 7617876211, 7617876208]",,,,,,,Akita,,,POINT (140.5752719 39.3099456),013-0033,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 871538845)",,,,shelter,,,,,"['39.4649042', '39.4650228', '140.4826394', '140.4836711']",,yes,,,,,,,大仙市,,,,,"大花町, 大仙市, 秋田県, 014-0027, 日本",,,,,,,,"POLYGON ((140.4831876 39.4650772, 140.4831837 39.4650436, 140.48323 39.4650404, 140.4832339 39.465074, 140.4831876 39.4650772))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8117773155, 8117773156, 8117773157, 8117773158, 8117773155]",,,,,,,Akita,,,POINT (140.4832088 39.4650588),014-0027,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 872296004)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"金沢東根, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,"POLYGON ((140.6203139 39.4325057, 140.6203351 39.4324715, 140.6204067 39.432498, 140.6203855 39.4325322, 140.6203139 39.4325057))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8124494355, 8124494356, 8124494357, 8124494358, 8124494355]",,,,,,,Akita,,,POINT (140.6203603 39.43250185),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 872296011)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"金沢東根, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,"POLYGON ((140.6212157 39.4326041, 140.6212255 39.4325652, 140.6212849 39.4325741, 140.6212751 39.432613, 140.6212157 39.4326041))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8124494399, 8124494400, 8124494401, 8124494402, 8124494399]",,,,,,,Akita,,,POINT (140.6212503 39.43258909999999),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 872307667)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"中の島遊歩道, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,"POLYGON ((140.6163685 39.4298403, 140.6164329 39.4298171, 140.6164577 39.4298581, 140.6163934 39.4298813, 140.6163685 39.4298403))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8124584984, 8124584985, 8124584986, 8124584987, 8124584984]",,,,,,,Akita,,,POINT (140.6164131184892 39.42984919703783),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 872307669)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"林道まつかぜ線, 金沢東根, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,"POLYGON ((140.6190556 39.4305631, 140.6190173 39.4305165, 140.6190793 39.4304861, 140.6191176 39.4305328, 140.6190556 39.4305631))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8124585000, 8124585001, 8124585002, 8124585003, 8124585000]",,,,,,,Akita,,,POINT (140.6190674548855 39.43052461746063),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 872307672)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"中の島遊歩道, 美郷町, 仙北郡, 秋田県, 019-1502, 日本",,,,,,,,"POLYGON ((140.6152787 39.4285106, 140.6153167 39.4284766, 140.6153591 39.4285048, 140.6153212 39.4285388, 140.6152787 39.4285106))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[8124585047, 8124585048, 8124585049, 8124585050, 8124585047]",,,,,,,Akita,,,POINT (140.6153189167532 39.42850770119608),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
